;com;prot
0;Scandoside;K4LC41_9BETC
0;Scandoside;PLpro_SARS-CoV-2
0;Scandoside;6LU7:A
0;Scandoside;6M0J:A
0;Scandoside;6LZG:A
0;Scandoside;6VSB:A
0;Scandoside;6VXX:A
0;Scutellarein;YP_009725307.1
0;Scutellarein;K4LC41_9BETC
0;Scutellarein;PLpro_SARS-CoV-2
0;Scutellarein;6LU7:A
0;Scutellarein;6M0J:A
0;Scutellarein;6LZG:A
0;Scutellarein;6VSB:A
0;Scutellarein;6VXX:A
0;Casuarinin;YP_009725307.1
0;Casuarinin;K4LC41_9BETC
0;Casuarinin;PLpro_SARS-CoV-2
0;Casuarinin;6LU7:A
0;Casuarinin;6M0J:A
0;Casuarinin;6LZG:A
0;Casuarinin;6VSB:A
0;Casuarinin;6VXX:A
0;Morindone;YP_009725307.1
0;Morindone;K4LC41_9BETC
0;Morindone;PLpro_SARS-CoV-2
0;Morindone;6LU7:A
0;Morindone;6M0J:A
0;Morindone;6LZG:A
0;Morindone;6VSB:A
0;Morindone;6VXX:A
0;Alizarin;YP_009725307.1
0;Alizarin;K4LC41_9BETC
0;Alizarin;PLpro_SARS-CoV-2
0;Alizarin;6LU7:A
0;Alizarin;6M0J:A
0;Alizarin;6LZG:A
0;Alizarin;6VSB:A
0;Alizarin;6VXX:A
0;Spiraeoside;YP_009725307.1
0;Spiraeoside;K4LC41_9BETC
0;Spiraeoside;PLpro_SARS-CoV-2
0;Spiraeoside;6LU7:A
0;Spiraeoside;6M0J:A
0;Spiraeoside;6LZG:A
0;Spiraeoside;6VSB:A
0;Spiraeoside;6VXX:A
0;Glucobrassicin;YP_009725307.1
0;Glucobrassicin;K4LC41_9BETC
0;Glucobrassicin;PLpro_SARS-CoV-2
0;Glucobrassicin;6LU7:A
0;Glucobrassicin;6M0J:A
0;Glucobrassicin;6LZG:A
0;Glucobrassicin;6VSB:A
0;Glucobrassicin;6VXX:A
0;Geniposide;YP_009725307.1
0;Geniposide;K4LC41_9BETC
0;Geniposide;PLpro_SARS-CoV-2
0;Geniposide;6LU7:A
0;Geniposide;6M0J:A
0;Geniposide;6LZG:A
0;Geniposide;6VSB:A
0;Geniposide;6VXX:A
0;Oleoside;YP_009725307.1
0;Oleoside;K4LC41_9BETC
0;Oleoside;PLpro_SARS-CoV-2
0;Oleoside;6LU7:A
0;Oleoside;6M0J:A
0;Oleoside;6LZG:A
0;Oleoside;6VSB:A
0;Oleoside;6VXX:A
0;Majoroside;YP_009725307.1
0;Majoroside;K4LC41_9BETC
0;Majoroside;PLpro_SARS-CoV-2
0;Majoroside;6LU7:A
0;Majoroside;6M0J:A
0;Majoroside;6LZG:A
0;Majoroside;6VSB:A
0;Majoroside;6VXX:A
0;Loganic;YP_009725307.1
0;Loganic;K4LC41_9BETC
0;Loganic;PLpro_SARS-CoV-2
0;Loganic;6LU7:A
0;Loganic;6M0J:A
0;Loganic;6LZG:A
0;Loganic;6VSB:A
0;Loganic;6VXX:A
0;Glucoputran;YP_009725307.1
0;Glucoputran;K4LC41_9BETC
0;Glucoputran;PLpro_SARS-CoV-2
0;Glucoputran;6LU7:A
0;Glucoputran;6M0J:A
0;Glucoputran;6LZG:A
0;Glucoputran;6VSB:A
0;Glucoputran;6VXX:A
0;Isoforskolin;YP_009725307.1
0;Isoforskolin;K4LC41_9BETC
0;Isoforskolin;PLpro_SARS-CoV-2
0;Isoforskolin;6LU7:A
0;Isoforskolin;6M0J:A
0;Isoforskolin;6LZG:A
0;Isoforskolin;6VSB:A
0;Isoforskolin;6VXX:A
0;Kaempferol-3;YP_009725307.1
0;Kaempferol-3;K4LC41_9BETC
0;Kaempferol-3;PLpro_SARS-CoV-2
0;Kaempferol-3;6LU7:A
0;Kaempferol-3;6M0J:A
0;Kaempferol-3;6LZG:A
0;Kaempferol-3;6VSB:A
0;Kaempferol-3;6VXX:A
